"Edit URL Rewrite for a Category","Edit URL Rewrite for a Category",module,Magento_UrlRewrite
"Add URL Rewrite for a Category","Add URL Rewrite for a Category",module,Magento_UrlRewrite
"Category:","Category:",module,Magento_UrlRewrite
"We can\'t set up a URL rewrite because the product you chose is not associated with a website.","We can\'t set up a URL rewrite because the product you chose is not associated with a website.",module,Magento_UrlRewrite
"Please assign a website to the selected category.","Please assign a website to the selected category.",module,Magento_UrlRewrite
"Edit URL Rewrite for a Product","Edit URL Rewrite for a Product",module,Magento_UrlRewrite
"Add URL Rewrite for a Product","Add URL Rewrite for a Product",module,Magento_UrlRewrite
"Product:","Product:",module,Magento_UrlRewrite
"Skip Category Selection","Skip Category Selection",module,Magento_UrlRewrite
"ID","ID",module,Magento_UrlRewrite
"Name","Ime",module,Magento_UrlRewrite
"SKU","SKU",module,Magento_UrlRewrite
"Status","Stanje",module,Magento_UrlRewrite
"Edit URL Rewrite for CMS page","Edit URL Rewrite for CMS page",module,Magento_UrlRewrite
"Add URL Rewrite for CMS page","Add URL Rewrite for CMS page",module,Magento_UrlRewrite
"CMS page:","CMS page:",module,Magento_UrlRewrite
"Please assign a website to the selected CMS page.","Please assign a website to the selected CMS page.",module,Magento_UrlRewrite
"Title","Naslov",module,Magento_UrlRewrite
"URL Key","URL ključ",module,Magento_UrlRewrite
"Store View","Pogled trgovine",module,Magento_UrlRewrite
"Edit URL Rewrite","Edit URL Rewrite",module,Magento_UrlRewrite
"Add New URL Rewrite","Add New URL Rewrite",module,Magento_UrlRewrite
"Reset","Ponastavitev",module,Magento_UrlRewrite
"Back","Nazaj",module,Magento_UrlRewrite
"Delete","Izbriši",module,Magento_UrlRewrite
"Are you sure you want to do this?","Ali ste prepričani, da želite to storiti?",module,Magento_UrlRewrite
"Save","Shrani",module,Magento_UrlRewrite
"Block Information","Informacije bloka",module,Magento_UrlRewrite
"URL Rewrite Information","URL Rewrite Information",module,Magento_UrlRewrite
"Request Path","Request Path",module,Magento_UrlRewrite
"Target Path","Target Path",module,Magento_UrlRewrite
"Redirect Type","Redirect Type",module,Magento_UrlRewrite
"Description","Opis",module,Magento_UrlRewrite
"Store","Trgovina",module,Magento_UrlRewrite
"URL Rewrite Management","URL Rewrite Management",module,Magento_UrlRewrite
"Add URL Rewrite","Add URL Rewrite",module,Magento_UrlRewrite
"Custom","Po meri",module,Magento_UrlRewrite
"For category","For category",module,Magento_UrlRewrite
"For product","For product",module,Magento_UrlRewrite
"For CMS page","For CMS page",module,Magento_UrlRewrite
"Create URL Rewrite:","Create URL Rewrite:",module,Magento_UrlRewrite
"You deleted the URL rewrite.","You deleted the URL rewrite.",module,Magento_UrlRewrite
"We can\'t delete URL Rewrite right now.","We can\'t delete URL Rewrite right now.",module,Magento_UrlRewrite
"URL Rewrites","URL Rewrites",module,Magento_UrlRewrite
"The product you chose is not associated with the selected store or category.","The product you chose is not associated with the selected store or category.",module,Magento_UrlRewrite
"The category you chose is not associated with the selected store.","The category you chose is not associated with the selected store.",module,Magento_UrlRewrite
"The URL Rewrite has been saved.","The URL Rewrite has been saved.",module,Magento_UrlRewrite
"Something went wrong while saving URL Rewrite.","Something went wrong while saving URL Rewrite.",module,Magento_UrlRewrite
"Do not use two or more consecutive slashes in the request path.","Do not use two or more consecutive slashes in the request path.",module,Magento_UrlRewrite
"Anchor symbol (#) is not supported in request path.","Anchor symbol (#) is not supported in request path.",module,Magento_UrlRewrite
"Do not use two or more consecutive slashes in the url rewrite suffix.","Do not use two or more consecutive slashes in the url rewrite suffix.",module,Magento_UrlRewrite
"Anchor symbol (#) is not supported in url rewrite suffix.","Anchor symbol (#) is not supported in url rewrite suffix.",module,Magento_UrlRewrite
"No","Ne",module,Magento_UrlRewrite
"Temporary (302)","Temporary (302)",module,Magento_UrlRewrite
"Permanent (301)","Permanent (301)",module,Magento_UrlRewrite
"Request Path for Specified Store","Request Path for Specified Store",module,Magento_UrlRewrite
"URL key for specified store already exists.","Ključ URL-ja za določeno trgovino že obstaja.",module,Magento_UrlRewrite
"Custom storage message","Custom storage message",module,Magento_UrlRewrite
"Select Category","Select Category",module,Magento_UrlRewrite
"Action","Dejanje",module,Magento_UrlRewrite
"Edit","Uredi",module,Magento_UrlRewrite
"We can't set up a URL rewrite because the product you chose is not associated with a website.","We can't set up a URL rewrite because the product you chose is not associated with a website.",module,Magento_UrlRewrite
"We can't delete URL Rewrite right now.","We can't delete URL Rewrite right now.",module,Magento_UrlRewrite
